date,timepoint,coral_ID,treatment_temp,polyp_count,BW_1,BW_2,BW_3,temp,pH,DO,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIP,28,40,2.3,2.3,2.3,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIQ,28,56,6.77,6.77,6.77,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIO,28,38,5.48,5.48,5.48,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAQ,28,29,3.76,3.76,3.76,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCS,28,12,0.5,0.5,0.5,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCO,28,9,0.27,0.27,0.27,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCP,28,12,0.39,0.39,0.39,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAT,28,13,0.61,0.61,0.61,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCJ,22,28,0.62,0.62,0.62,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIN,22,24,4.04,4.04,4.04,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIM,22,34,2.5,2.5,2.5,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAK,22,16,3.27,3.27,3.27,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAI,22,12,1.46,1.46,1.46,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCT,28,11,0.84,0.84,0.84,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAS,28,27,2.79,2.79,2.79,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIK,22,16,0.54,0.54,0.54,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCL,22,37,5.02,5.02,5.02,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAH,22,7,0.2,0.2,0.2,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIJ,22,30,5.01,5.01,5.01,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAM,22,16,1.01,1.01,1.01,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAL,22,21,2.07,2.07,2.07,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCI,22,24,0.77,0.77,0.77,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RII,22,49,4.92,4.92,4.92,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAJ,22,43,3.66,3.66,3.66,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAN,22,15,1.13,1.13,1.13,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCM,22,27,1.37,1.37,1.37,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCK,22,26,1.82,1.82,1.82,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCH,22,35,0.96,0.96,0.96,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIL,22,42,3.05,3.05,3.05,21.4,8.16,80.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCN,22,27,1.52,1.52,1.52,21.4,8.16,80.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIH,22,58,7.09,7.09,7.09,21.4,8.16,80.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCE,18,28,1.3,1.3,1.3,21.4,8.16,80.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RID,18,44,4.31,4.31,4.31,21.4,8.16,80.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIB,18,39,2.7,2.7,2.7,21.4,8.13,78.6,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIA,18,33,3.68,3.68,3.68,21.4,8.13,78.6,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIF,18,33,5.19,5.19,5.19,21.4,8.13,78.6,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCG,18,46,1.21,1.21,1.21,21.4,8.13,78.6,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAF,18,31,2.28,2.28,2.28,21.4,8.13,78.6,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAE,18,34,3.32,3.32,3.32,21.4,8.14,77.8,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,RIE,18,27,2.75,2.75,2.75,21.4,8.14,77.8,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAD,18,12,0.49,0.49,0.49,21.4,8.14,77.8,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCD,18,15,0.37,0.37,0.37,21.4,8.14,77.8,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCF,18,20,0.9,0.9,0.9,21.4,8.14,77.8,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,MAA,18,52,3.71,3.71,3.71,21.5,8.04,80.8,,,,,,,,,,,,,,,,,,,,,,,
6/24/22,start,MAG,18,37,4.41,4.41,4.41,21.5,8.04,80.8,,,,,,,,,,,,,,,,,,,,,,,
