date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
6/24/22,1,RIG,18,18,149,240,0.379,53,174,0.695,130,244,0.467,,,,,,,,,,,,
6/24/22,1,MAC,18,18,54,76,0.289,132,231,0.428,45,110,0.59,,,,,,,,,,,,
6/24/22,1,NCA,18,18,185,454,0.592,94,242,0.611,183,567,0.677,,,,,,,,,,,,
6/24/22,1,NCB,18,18,244,570,0.571,214,590,0.637,194,524,0.629,,,,,,,,,,,,
6/24/22,1,RIC,18,18,288,488,0.409,230,384,0.401,199,356,0.441,,,,,,,,,,,,
6/24/22,1,NCC,18,18,159,381,0.582,136,383,0.644,153,433,0.646,,,,,,,,,,,,
6/28/22,2,NCD,18,18,259,699,0.629,189,477,0.603,217,567,0.617,,,,,,,,,,,,
6/28/22,2,MAE,18,18,130,235,0.446,115,226,0.491,141,281,0.498,,,,,,,,,,,,
6/28/22,2,NCE,18,18,134,369,0.636,107,258,0.585,181,565,0.679,,,,,,,,,,,,
6/28/22,2,MAD,18,18,146,359,0.593,126,295,0.572,140,321,0.563,,,,,,,,,,,,
6/28/22,2,RIE,18,18,255,376,0.321,234,451,0.481,215,326,0.34,,,,,,,,,,,,
6/28/22,2,MAA,18,18,35,79,0.556,235,537,0.562,105,224,0.531,,,,,,,,,,,,
6/28/22,2,RIF,18,18,247,364,0.321,218,397,0.45,244,450,0.457,,,,,,,,,,,,
6/28/22,2,NCG,18,18,247,682,0.637,256,687,0.627,234,681,0.656,,,,,,,,,,,,
6/28/22,2,MAG,18,18,177,348,0.491,167,334,0.5,158,350,0.548,,,,,,,,,,,,
6/28/22,2,RID,18,18,255,408,0.375,134,242,0.446,193,339,0.43,,,,,,,,,,,,
6/28/22,2,RIA,18,18,50,79,0.367,212,416,0.49,200,369,0.458,,,,,,,,,,,,
6/28/22,2,NCF,18,18,214,540,0.603,265,671,0.605,249,605,0.588,,,,,,,,,,,,
6/28/22,2,RIB,18,18,194,362,0.464,101,182,0.445,265,472,0.438,,,,,,,,,,,,
6/28/22,2,MAC,18,18,104,180,0.422,48,77,0.376,65,110,0.409,,,,,,,,,,,,
6/28/22,2,NCC,18,18,65,205,0.682,198,576,0.656,119,356,0.665,,,,,,,,,,,,
6/28/22,2,RIG,18,18,129,228,0.434,219,411,0.467,164,281,0.416,,,,,,,,,,,,
6/28/22,2,MAF,18,18,54,107,0.495,32,44,0.272,72,157,0.541,,,,,,,,,,,,
6/28/22,2,NCB,18,18,218,645,0.662,245,640,0.617,207,563,0.632,,,,,,,,,,,,
6/28/22,2,RIC,18,18,324,595,0.455,211,395,0.465,175,349,0.498,,,,,,,,,,,,
6/28/22,2,MAB,18,18,210,458,0.541,162,316,0.487,92,209,0.559,,,,,,,,,,,,
6/28/22,2,NCA,18,18,114,359,0.682,134,380,0.647,110,314,0.649,,,,,,,,,,,,
6/28/22,2,RIW,32,32,287,426,0.326,212,299,0.29,231,338,0.316,,,,,,,,,,,,
6/28/22,2,RIV,32,32,324,535,0.394,238,345,0.31,289,449,0.356,,,,,,,,,,,,
6/28/22,2,RIAA,32,32,315,439,0.282,263,383,0.313,332,515,0.355,,,,,,,,,,,,
6/28/22,2,NCAB,32,32,148,465,0.681,160,447,0.642,173,508,0.659,,,,,,,,,,,,
6/28/22,2,RIX,32,32,267,377,0.291,240,412,0.417,96,124,0.225,,,,,,,,,,,,
6/28/22,2,MAAA,32,32,138,201,0.313,211,309,0.317,92,117,0.213,,,,,,,,,,,,
6/28/22,2,RIAB,32,32,333,383,0.13,213,231,0.077,274,409,0.33,,,,,,,,,,,,
6/28/22,2,NCX,32,32,205,546,0.624,246,674,0.635,193,531,0.636,,,,,,,,,,,,
6/28/22,2,NCAA,32,32,234,693,0.662,228,698,0.673,211,618,0.658,,,,,,,,,,,,
6/28/22,2,NCW,32,32,315,780,0.596,242,748,0.676,203,559,0.636,,,,,,,,,,,,
6/28/22,2,MAW,32,32,161,188,0.143,148,196,0.244,180,222,0.189,,,,,,,,,,,,
6/28/22,2,MAY,32,32,134,237,0.434,75,119,0.369,98,172,0.43,,,,,,,,,,,,
6/28/22,2,MAV,32,32,81,158,0.487,43,93,0.537,47,103,0.543,,,,,,,,,,,,
6/28/22,2,MAX,32,32,102,123,0.17,169,240,0.295,147,299,0.508,,,,,,,,,,,,
6/28/22,2,MAAB,32,32,124,142,0.126,80,99,0.191,121,144,0.159,,,,,,,,,,,,
6/28/22,2,NCY,32,32,218,738,0.704,237,717,0.669,151,483,0.687,,,,,,,,,,,,
6/28/22,2,NCV,32,32,199,545,0.634,262,791,0.668,236,660,0.642,,,,,,,,,,,,
6/28/22,2,RIY,32,32,172,357,0.518,313,528,0.407,168,321,0.476,,,,,,,,,,,,
6/28/22,2,NCZ,32,32,258,729,0.646,237,685,0.654,170,498,0.658,,,,,,,,,,,,
6/28/22,2,RIZ,32,32,340,442,0.23,274,289,0.051,214,266,0.195,,,,,,,,,,,,
6/28/22,2,MAZ,32,32,144,301,0.521,222,450,0.506,238,543,0.561,,,,,,,,,,,,
7/5/22,2,MAQ,28,28,18,43,0.581,126,284,0.556,28,59,0.525,,,,,,,,,,,,
7/5/22,2,RIO,28,28,300,428,0.299,201,274,0.266,230,301,0.235,,,,,,,,,,,,
7/5/22,2,MAU,28,28,164,439,0.626,205,398,0.484,184,426,0.568,,,,,,,,,,,,
